"CODI","DENOMINACIÓ GENÈRICA","NOM","CORREU ELECTRÒNIC 1","CORREU ELECTRÒNIC 2","PÀGINA WEB","TITULAR","NIF","LOCALITAT","MUNICIPI","ADREÇA","CP","ILLA","TELEF1"
"07500211","CA","CAMP D APRENENTATGE ORIENT","caorient@educaib.eu","","","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","S0718186J","ORIENT","BUNYOLA","C/ DE LA CREU, NÚM.2","07349","MALLORCA","971427212"
"07500166","CA","CAMP D APRENENTATGE SA CALA","casacala@educaib.eu","","http://campsdaprenentatgeib.org/","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","S0718182I","SANT VICENT DE SA CALA","SANT JOAN DE LABRITJA","C/ SANT VICENT DE SA CALA, NÚM. 8","07811","EIVISSA","971320094"
"07500130","CA","CAMP D APRENENTATGE SON FERRIOL","casonferriol@educaib.eu","","","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","S0718185B","SON FERRIOL","PALMA","AV DEL CID, S/N","07198","MALLORCA","971427144"
"07008144","CAEED","CENTRE AUTORIT ENSENY_ELEMENTALS DE DANSA,  SANT JAUME","dansasantjaume@gmail.com","","http://www.dansasantjaume.com/","Mª MONTSERRAT ESTARELLAS GARAU","41349979G","PALMA","PALMA","C/ PAU PIFERRER, 15","07011","MALLORCA","971450865"
"07016232","CAEEM","CENTRE AUTORIT ENSENY _ELEMENTALS DE MÚSICA,  SAGRAT COR","dirpedag@sagratcor.fecib.net","secretaria@sagratcor.fecib.net","","FUNDACIO ESCOLA CATOLICA DE LES ILLES BALEARS (FECIB)","G57562373","PALMA","PALMA","C/ DEL PARE ANTONI OLIVER, 4","07014","MALLORCA",""
"07008703","CAEEM","CENTRE AUTORIT ENSENY _ELEMENTALS DE MÚSICA,  SANT JOSEP OBRER","musica@santjosepobrer.com","miparedes@fcdm.es","","FUNDACIÓN DIOCESANA RAMÓN LLULL","R0700747I","PALMA","PALMA","C/ REIS CATÒLICS, 89","07007","MALLORCA","971274825"
"07014715","CAEEM","CENTRE AUTORIT ENSENY_ELEMENTALS DE MÚSICA , CIDE","escolademusicacide@gmail.com","","http://www.escolademusicacide.com/","CENTRE INTERNACIONAL D EDUCACIÓ SOCIETAT COOPERATIVA","","PALMA","PALMA","C/ DE L'ARNER, NÚM. 3","07013","MALLORCA","971606499"
"07015100","CAEEM","CENTRE AUTORIT ENSENY_ELEMENTALS DE MÚSICA,  OBRADOR MÚSICS MARRATXÍ","obradordemusics@gmail.com","","","ANTONIA LLABRES CARDELL","","ES PONT D'INCA","MARRATXÍ","C/ DE LA CABANA, NÚM. 1 I 3","07141","MALLORCA","606328755"
"07008132","CAEEM","CENTRE AUTORIT ENSENY_ELEMENTALS DE MÚSICA,  SANTA MÒNICA","secretaria@colegiosantamonica.eu","","","CONGREGACION AGUSTINAS HERMANAS DEL AMPARO","R0700357G","PALMA","PALMA","C/ MARTÍNEZ VARGAS, 13","07005","MALLORCA","971274800"
"07015112","CAEEPD","CENTRE AUTORIT ENSENY_ELEMENTALS_PROFESSIONALS DE  DANSA,  FCA. TOMÁS","escoladansafranciscatomas@gmail.com","","","FRANCISCA TOMAS GELABERT","18233108L","PALMA","PALMA","C/ ANTONI MARQUÈS, 26","07003","MALLORCA","971751022"
"07015951","CAHOSPD","CAHOSPD MARIA ANTÒNIA PASCUAL  (COL·LEGI PER A L'ATENCIÓ HOSPITALÀRIA I DOMICILIÀRIA)","cahosdomariaantoniapascual@educaib.eu","","","CONSELLERIA D'EDUCACIÓ_HOSPITAL UNIVERSITARI DE SOS ESPASES","Q0768296F","PALMA","PALMA","CTRA DE VALLDEMOSSA, NÚM. 79, NIVELL +1, MÓDUL B, PASSADÍS Q","07010","MALLORCA","871206735"
"07013528","CC","AIXA-LLAUT","secretaria@instituciomallorca.org","cbeltran@instituciomallorca.org","http://www.mallorca.institucio.org","PROMOCIONES EDUCATIVAS S EMBAT S A","A57358087","PALMA","PALMA","C/ GREGORIO MENDEL, S/N PARC BIT","07121","MALLORCA","971439954"
"07003501","CC","ARCANGEL SANT RAFEL","centre@arcangelsantrafel.com","","www.arcangelsantrafel.com","HERMANAS DE LA CARIDAD DE SAN VICENTE DE PAÚL","R0700085D","PALMA","PALMA","C/ PABLO IGLESIAS, 4","07004","MALLORCA","971756514"
"07006767","CC","AULA BALEAR","aulabalear@aulabalear.org","","http://www.aulabalear.org","AULA BALEAR S.COOP.","F07083595","SA VILETA","PALMA","C/ CAN VALERO, 19","07011","MALLORCA","971202301"
"07003456","CC","BALMES","directorbalmes@telefonica.net","","http://www.colegiobalmes.com","CENTRE D'ENSENYAMENT COL LEGI BALMES S L _NAU I FITA SL)","B07929409","PALMA","PALMA","C/ PERE II, 42","07007","MALLORCA","971242700"
"07001541","CC","BEATA FRANCINAINA CIRER","beata@bfcinca.net","","/www.bfcinca.net","FUNDACIO ESCOLA CATOLICA DE LES ILLES BALEARS (FECIB)","G57562373","INCA","INCA","C/ SANTIAGO RUSSINYOL, 217","07300","MALLORCA","971500953"
"07001526","CC","BEATO RAMÓN LLULL","centre@beatramonllull.org","secretaria@beatramonllull.org","http://www.beatramonllull.org","PADRES FRANCISCANOS DE LA TOR","R0700169F","INCA","INCA","C/ DEL VENT, 10","07300","MALLORCA","971500100"
"07005416","CC","BISBE VERGER","info@bisbeverger.es","","","FUNDACIÓN DIOCESANA RAMÓN LLULL","R0700747I","SANTANYÍ","SANTANYÍ","C/ ES CELLER, 44","07650","MALLORCA","971163085"
"07004679","CC","CAN BONET","canbonet2@yahoo.es","josepibiza@msn.com","","FUNDACIO DIOCESANA ISIDORO MACABICH","G07786981","SANT ANTONI DE PORTMANY","SANT ANTONI DE PORTMANY","C/ LLIMONERS, S/N","07820","EIVISSA","971342143"
"07004230","CC","CENTRO INTERNACIONAL DE EDUCACIÓN_CIDE","cide@cide.es","","http://www.cide.es","CENTRE INTERNACIONAL D EDUCACIÓ SOCIETAT COOPERATIVA","F07038722","PALMA","PALMA","C/ ARNER, 3","07013","MALLORCA","971606499"
"07001927","CC","COR DE MARIA","cordemaria@planalfa.es","","http://www.fundacionxafer.org/COR_DE_MARIA/index.htm","FUNDACIO XAFER","G57111221","MAÓ","MAÓ","C/ SAN FERNANDO, 42","07702","MENORCA","971364965"
"07003171","CC","CORPUS CHRISTI","corpus@santjosepobrer.es","fundacio@fecib.net","","FUNDACIÓN DIOCESANA RAMÓN LLULL","R0700747I","PALMA","PALMA","CAMÍ DE SON GOTLEU, 69","07008","MALLORCA","971242100"
"07003092","CC","EL TEMPLE","secretaria.eltemple.palma@centrosfest.net","dgeneral.eltemple.palma@centrosfest.net","cceltemple.es","FUNDACION EDUCATIVA SANTISIMA TRINIDAD","G88036165","PALMA","PALMA","C/ MONTEVIDEO, 4","07006","MALLORCA","971466964"
"07006664","CC","ES LICEU","escola@esliceu.com","","www.esliceu.com","SOCIETAT COOPERATIVA  ES LICEU","F07075443","ES PONT D'INCA","MARRATXÍ","C/ CABANA, 31","07141","MALLORCA","971600986"
"07003614","CC","ESCOLAPIES PALMA","secretaria@escolapiespalma.org","info@escolapiespalma.org","http://www.palma.escolapies.com","FUNDACIÓ ESCOLAPIES","G65801904","PALMA","PALMA","C/JOAN CRESPÍ, 30","07014","MALLORCA","971730314"
"07000650","CC","FRAY JUAN BALLESTER","info@frajoanballester.com","secretaria@frajoanballester.com","http://www.frajoanballester.wordpress.com","FUNDACIÓN DIOCESANA RAMÓN LLULL","R0700747I","CAMPOS","CAMPOS","C/ PARE ALZINA, S/N","07630","MALLORCA","971650821"
"07003471","CC","JESUS MARÍA","info@ccjesusmaria.com","","www.colegiojesusmaria.com","CONGREGACION HERMANAS MISIONERAS DE LOS SAGRADOS CORAZONES DE JESÚS Y MARÍA","R0700143A","PALMA","PALMA","C/ GUILLEM GALMÉS, 38","07004","MALLORCA","971751859"
"07003699","CC","JUAN DE LA CIERVA","info@colegiojuandelacierva.com","mpradas@colegiojuandelacierva.com","www.colegiojuandelacierva.com","JUAN DE LA CIERVA S L","B07063639","PALMA","PALMA","C/ TENOR BOU ROIG, 13","07008","MALLORCA","971477293"
"07003730","CC","LA IMMACULADA","secretaria@immaculadapm.com","","http://www.immaculadapm.com","FUNDACIÓN DIOCESANA RAMÓN LLULL","R0700747I","EL TERRENO","PALMA","C/ROBERT GRAVES, 38","07015","MALLORCA","971731229"
"07003468","CC","LA MIRACULOSA","centre@miraculosa.fecib.net",""," http://www.lamilagrosapalma.es/","FUNDACIO ESCOLA CATOLICA DE LES ILLES BALEARS (FECIB)","G57562373","PALMA","PALMA","C/ SEMOLERA, 16","07008","MALLORCA","971421063"
"07004084","CC","LA PORCIÚNCULA","direccio@porciuncula.org","secretaria@porciuncula.org","http://www.porciuncula.org","PADRES FRANCISCANOS DE LA TOR","R0700172J","S'ARENAL","PALMA","AV. DE FRA JOAN LLABRÉS, 1","07600","MALLORCA","971269912"
"07004308","CC","LA PURÍSIMA _Mateix codi per al CCEE La Purísima","administracion@la-purisima.org","info@la-purisima.org","","FUNDACIÓN EDUCATIVA FRANCISCANAS DE LA INMACULADA","R2802525B","SA VILETA","PALMA","C/ SEVILLA, 19","07013","MALLORCA","971733868"
"07000081","CC","LA SALLE_ALAIOR","alaior@lasallevp.es","alaiorsecretaria@lasallevp.es","","HERMANOS DE LAS ESCUELAS CRISTIANAS DE LA SALLE","R0700062C","ALAIOR","ALAIOR","AV. VERGE DEL TORO, 86","07730","MENORCA","971372253"
"07002440","CC","LA SALLE_ES PONT D'INCA","pontdinca@lasalle.es","pontdinca@lasallevp.es","http://servidor1.lasalle.es/pont-dinca/","HERMANOS DE LAS ESCUELAS CRISTIANAS DE LA SALLE","R0700044A","ES PONT D'INCA","MARRATXÍ","C/LA SALLE, 15","07141","MALLORCA","971600249"
"07001472","CC","LA SALLE_INCA","inca@lasallevp.es, manolics@lasallevp.es","dirgeninca@lasallevp.es","http://www.lasalleinca.es/","HERMANOS DE LAS ESCUELAS CRISTIANAS DE LA SALLE","R0700047D","INCA","INCA","C/SES COVES, 61","07300","MALLORCA","971500365"
"07002181","CC","LA SALLE_MANACOR","manacor@lasallevp.es","","","HERMANOS DE LAS ESCUELAS CRISTIANAS DE LA SALLE","R0700064I","MANACOR","MANACOR","C/SAN JUAN BAUTISTA DE LA SALLE, 2","07500","MALLORCA","971550278"
"07001915","CC","LA SALLE_MAÓ","mao@lasallevp.es","","www.lasalle.es/mao","HERMANOS DE LAS ESCUELAS CRISTIANAS DE LA SALLE","R0700050H","MAÓ","MAÓ","C/ VASSALLO, 123 - 125","07703","MENORCA","971356114"
"07004333","CC","LA SALLE_SA VILETA","palma@lasallevp.es","dirgenpalma@lasallevp.es","http://www.lasalle.es/palma/","HERMANOS DE LAS ESCUELAS CRISTIANAS DE LA SALLE","R0700046F","SA VILETA","PALMA","CAMÍ DE SON RAPINYA, 29","07013","MALLORCA","971606397"
"07000391","CC","L'ASSUMPCIÓ","assumpcio@assumpcio.fecib.net","","www.assumpcio.net","FUNDACIO ESCOLA CATOLICA DE LES ILLES BALEARS (FECIB)","G57562373","BINISSALEM","BINISSALEM","C/ SANT VICENÇ DE PAÜL, 13","07350","MALLORCA","971870377"
"07002622","CC","LLADÓ","cllado@telefonica.net","","www.colegiollado.com","COLEGIO LLADO S L","B07563471","ES COLL D'EN RABASSA","PALMA","C/ CASTILLEJOS, 45","07007","MALLORCA","971268065"
"07004278","CC","MADRE ALBERTA","colegiomadrealberta@madrealberta.com","secretaria@madrealberta.com","http://www.madrealberta.com","CONGREGACION RELIGIOSAS PUREZA DE MARIA","R0700104C","PALMA","PALMA","CAMÍ DELS REIS, 102","07013","MALLORCA","971792085"
"07003602","CC","MANJON","escolamanjon@escolamanjon.com","secretaria@escolamanjon.com","http://www.escolamanjon.com","SOCIEDAD COOPERATIVA EDUCATIVA MANJON","F57511438","PALMA","PALMA","C/JOAN FUSTER ,18","07010","MALLORCA","971294711"
"07006871","CC","MARE DE DÉU DE LES NEUS","virgennieves.direccion@gmail.com","","","CONGREGACION AGUSTINAS HERMANAS DEL AMPARO","R0700344E","SANT JORDI DE SES SALINES","SANT JOSEP DE SA TALAIA","C/ DE LES MONGES, 5","07817","EIVISSA","971395045"
"07006482","CC","MATA DE JONC","secretaria@matadejonc.cat","","http://www.matadejonc.cat","SOCIETAT COOPERATIVA D ENSENYAMENT MATA DE JONC","F07077241","PALMA","PALMA","C/ SON ESPANYOLET, 49","07014","MALLORCA","971736677"
"07004448","CC","MONTI-SION","montision@hotmail.com","","http://www.colegiomontesion.es","FUNDACIÓN DIOCESANA RAMÓN LLULL","R0700747I","POLLENÇA","POLLENÇA","C/ MONTI-SION, 35","07460","MALLORCA","971530305"
"07001721","CC","NOSTRA SENYORA DE GRÀCIA","nsgracia@nostrasenyoradegracia.com","","http://www.nostrasenyoradegracia.com","HERMANAS DE LA CARIDAD DE SAN VICENTE DE PAUL","R0700082A","LLUCMAJOR","LLUCMAJOR","C/ PARAIRES, 3","07620","MALLORCA","971661309"
"07000807","CC","NOSTRA SENYORA DE LA CONSOLACIÓ_CIUTADELLA","direccioeip@consolacio.es","secretaria@consolacio.es","","PROVINCIA DE EUROPA DE LA CONGREGACIÓN DE HERMANAS DE NUESTRA SEÑORA DE LA CONSOLACIÓN","R2800026C","CIUTADELLA","CIUTADELLA","C/ MARE MOLAS, 2","07760","MENORCA","971484140"
"07000030","CC","NUESTRA SEÑORA DE LA CONSOLACIÓN_ALARÓ","nsdelaconsolacio.alaro@educaib.eu","nsconsolacionam@planalfa.es","","CONGREGACION AGUSTINAS HERMANAS DEL AMPARO","R0700353F","ALARÓ","ALARÓ","C/ SANT ROC, 4","07340","MALLORCA","971510355"
"07000111","CC","NUESTRA SEÑORA DE LA CONSOLACIÓN_ALCÚDIA","colegio@nsc-alcudia.com","direccion@nsc-alcudia.com","http://www.nsc-alcudia.com","CONGREGACION AGUSTINAS HERMANAS DEL AMPARO","R0700359C","ALCÚDIA","ALCÚDIA","C/ CABRERA, 5","07400","MALLORCA","971545843"
"07001319","CC","NUESTRA SEÑORA DE LA CONSOLACIÓN_EIVISSA","secretaria@consolacion-eivissa.com","","","CONGREGACION AGUSTINAS HERMANAS DEL AMPARO","R0700345B","EIVISSA","EIVISSA","C/ DE JOAN XICO, 8","07800","EIVISSA","971301418"
"07003687","CC","NUESTRA SEÑORA DE LA CONSOLACIÓN_ES VIVERO_PALMA","administracion@consolacionvivero.com","direccion@consolacionvivero.com","administracion@colegioconsolacionvivero.com","CONGREGACION AGUSTINAS HERMANAS DEL AMPARO","R0700352H","ES VIVERO","PALMA","C/ BACH, 4","07008","MALLORCA","971474526"
"07007221","CC","NUESTRA SEÑORA DE LA CONSOLACIÓN_SA INDIOTERIA_PALMA","direccion@consolacionindioteria.com","","www.saindioteria.com","CONGREGACION AGUSTINAS HERMANAS DEL AMPARO","R0700350B","SA INDIOTERIA","PALMA","PLAÇA PARRÒQUIA, 2","07009","MALLORCA","971294762"
"07003572","CC","NUESTRA SEÑORA DE LA ESPERANZA","secretaria@colegiolaesperanza.es","","http://www.colegiolaesperanza.es","LEONCIO SIMON S L","B07157852","PALMA","PALMA","C/ ARQUITECTE BENNÀSSAR, 14","07004","MALLORCA","971751558"
"07003857","CC","NUESTRA SEÑORA DE MONTESIÓN_PALMA","secretariapalma@colegiomontesion.es","","www.colegiomontesion.es","COMPAÑÍA DE JESÚS PROVINCIA CANONICA DE ESPAÑA","R2800224D","PALMA","PALMA","C/ MONTI-SION, 24","07001","MALLORCA","971711300"
"07004254","CC","NUESTRA SEÑORA DE MONTESIÓN_SA VILETA","secretariasonmoix@colegiomontesion.es","","http://www.colegiomontesion.es/public/2011/index.php","COMPAÑÍA DE JESÚS PROVINCIA CANONICA DE ESPAÑA","R2800224D","SA VILETA","PALMA","CAMÍ DE SON RAPINYA, 14","07013","MALLORCA","971792250"
"07003341","CC","PEDRO POVEDA","cpedropovedapalma@gmail.com","","http://www.cpedropoveda.org","FUNDACION HEURA 1","G57023673","PALMA","PALMA","C/ LLEDONER, 6","07008","MALLORCA","971474096"
"07003511","CC","PIUS XII","direccio@piusxii.es","drodriguez_piusxii@yahoo.es","http://www.piusxii.es","COL LEGI PIUS XII S L","B07060254","PALMA","PALMA","C/ ARQUITECTE BENNÀSSAR, 33","07004","MALLORCA","971751572"
"07001460","CC","PUREZA DE MARÍA_INCA","secretaria@pmaria-inca.org","","http://www.pmaria-inca.org","CONGREGACION PUREZA DE MARIA SANTISIMA","R0700105J","INCA","INCA","C/ LLEVANT, 92","07300","MALLORCA","971881875"
"07002117","CC","PUREZA DE MARÍA_MANACOR","direccion@pmaria-manacor.org.","","http://www.pmaria-manacor.org","CONGREGACION RELIGIOSAS PUREZA DE MARIA","R0700124A","MANACOR","MANACOR","C/ SANT JERONI, 7","07500","MALLORCA","971550525"
"07000212","CC","RAMON LLULL_ANDRATX","secretaria@ramon-llull.com","","http://ramon-llull.com/esp/index.html","CONGREGACION AGUSTINAS HERMANAS DEL AMPARO","R0700360A","ANDRATX","ANDRATX","C/ VIA JOAN RIERA, 15","07150","MALLORCA","971136193"
"07005301","CC","RAMON LLULL_SANTA MARIA","centre@ramonllull.org","","http://www.ramonllull.es/","HERMANAS DE LA CARIDAD DE SAN VICENTE DE PAUL","R0700093H","SANTA MARIA DEL CAMÍ","SANTA MARIA DEL CAMÍ","C/ SOL, 5","07320","MALLORCA","971140620"
"07001344","CC","SA REAL","secretaria@sareal.es","dpedagogic@sareal.es","","FUNDACIÓN DIOCESANA ISIDORO MACABICH","G07786981","EIVISSA","EIVISSA","AV. IGNASI WALLIS, S/N","07800","EIVISSA","971315424"
"07003675","CC","SAGRAT COR","secretaria@sagratcor.fecib.net","","www.sagratcorpalma.com","FUNDACIO ESCOLA CATOLICA DE LES ILLES BALEARS (FECIB)","G57562373","PALMA","PALMA","C/ PARE ANTONI OLIVER, 4","07014","MALLORCA","971734645"
"07005623","CC","SAGRATS CORS","sagratscors@sagratscors.net","","www.sagratscors.cat","CONGREGACION DE MISIONEROS DE LOS SAGRADOS CORAZONES DE JESÚS Y MARÍA","R0700140G","SÓLLER","SÓLLER","C/ ISABEL II, 114","07100","MALLORCA","971630497"
"07003328","CC","SAN AGUSTÍN","director@sanagustinpalma.es","","www.sanagustinpalma.com","PROVINCIA AGUSTINIANA MATRITENSE_Congregación Agustinos","R0700125H","PALMA","PALMA","C/ MATEU ENRIC LLADÓ, 30","07002","MALLORCA","971723465"
"07003651","CC","SAN ALFONSO MARÍA DE LIGORIO","administracion@colegiosanalfonso.com","","","ORDEN DE CLÉRIGOS REGULARES_PADRES TEATINOS","R0700420C","PALMA","PALMA","C/ SAN LORENZO,NÚM 3","07012","MALLORCA","971724413"
"07001711","CC","SAN BUENAVENTURA","direccio@santbonaventura.net","","","PADRES FRANCISCANOS DE LA TOR","R0700168H","LLUCMAJOR","LLUCMAJOR","C/ CONVENT, 25","07620","MALLORCA","971660453"
"07000297","CC","SAN BUENAVENTURA","direccio@santbonaventura.org","","","PADRES FRANCISCANOS DE LA TOR","R0700170D","ARTÀ","ARTÀ","C/ SANT ANTONI, 1","07570","MALLORCA","971836986"
"07003331","CC","SAN FELIPE NERI","santfelipneri@gorgblau.coop","","http://www.gorgblau.coop","GORG BLAU SOCIETAT COOPERATIVA LIMITADA","F07539182","PALMA","PALMA","C/ VILANOVA, 3","07002","MALLORCA","971714739"
"07003559","CC","SAN JOSÉ DE LA MONTAÑA","sanjosem@planalfa.es","","","CONGREGACION MADRES DE DESAMPARADOS Y SAN JOSE DE LA MONTAÑA","R0700080E","PALMA","PALMA","C/ COTLLIURE, 22","07010","MALLORCA","971750629"
"07001058","CC","SANT ALFONS","lledoner@lledoner.com","jerom@lledoner.com","","SOCIEDAD COOPERATIVA D ENSENYAMENT ES LLEDONER","F07746423","FELANITX","FELANITX","C/ BARTOMEU AMENGUAL, S/N","07200","MALLORCA","971581211"
"07002701","CC","SANT ANTONI ABAT","info@csantantoniabat.com","","www.csantantoniabat.com","FUNDACIÓN DIOCESANA RAMÓN LLULL","R0700747I","SON FERRIOL","PALMA","C/ SANT JOAN DE LA CREU, 58","07198","MALLORCA","971426001"
"07003298","CC","SANT FRANCESC","secretaria@santfrancesc.net","tonimonserrat@santfrancesc.net","http://www.santfrancesc.net","PADRES FRANCISCANOS DE LA TOR","R0700171B","PALMA","PALMA","C/ RAMON LLULL, 1","07001","MALLORCA","971716111"
"07001150","CC","SANT FRANCESC D'ASSÍS_FERRERIES","sfassisf@sfassisf.com","","http://www.sfassisf.com/","BISBAT DE MENORCA","R0700538B","FERRERIES","FERRERIES","C/ PARE HUGUET, 11","07750","MENORCA","971373190"
"07002130","CC","SANT FRANCESC D'ASSÍS_MANACOR","manacor@sfassis.org","","http://www.santfrancescdassis.com","HERMANAS FRANCISCANAS HIJAS DE LA MISERICORDIA","R0700134J","MANACOR","MANACOR","C/ MAJOR, 28","07500","MALLORCA","971844280"
"07002579","CC","SANT FRANCESC D'ASSÍS_MURO","muro@sfassis.org","muro@sfassis.org","http://www.santfrancescdassis.com","HERMANAS FRANCISCANAS HIJAS DE LA MISERICORDIA","R0700022G","MURO","MURO","C/ JOAN MIRÓ, 1 (EP) - C/ANTONI MAURA, 3 (EI)","07440","MALLORCA","971537513"
"07003444","CC","SANT FRANCESC D'ASSÍS_PALMA","palma@sfassis.org","palma@sfassis.org","http://www.sfassisf.com","HERMANAS FRANCISCANAS HIJAS DE LA MISERICORDIA","R0700132D","PALMA","PALMA","PASSATGE CAN FEIXINA, 1","07005","MALLORCA","971469415"
"07004588","CC","SANT FRANCESC D'ASSÍS_SA POBLA","sapobla@sfassis.org","","","HERMANAS FRANCISCANAS HIJAS DE LA MISERICORDIA","R0700135G","SA POBLA","SA POBLA","C/ LLUNA, 11","07420","MALLORCA","971862703"
